responsable de carga,inventario,n de ficha,titulo,ubicación,sector,sala,caja,SERIES,clasificaci,descripción,dimenciones,materiales,autor,observación,año,fotografia,Fecha de carga,Ancho,Alto,Profundo,diámetro,Estado de conservación,n de inventario anterior,seguimiento,link-fotografias,sobre
,11,6533,Yariguarenda en las faldas de Aguaragüe - Salta,,17A,,,Costumbres; Museo Bernasconi; Salta,tabla policromada,Carro tirado x bueyes,27x36x2,Madera,,,,1,,36,27,2,,Regular,,False,https://drive.google.com/open?id=1En5Bzb1Ul54pFk3Q9nb5JNP1ZoV5jlQl&authuser=museo.bernasconi%40bue.edu.ar&usp=drive_fs,
a.a,12,6534,"""La montaña"" (2)",,18A,,,Literatura; Museo Bernasconi,tabla policromada,"TABLA CON TEXTO:""El ruido que se siente…""","20x45x1,8",Madera,,,,1,2022-02-09,45,20,"1,8",,Regular,,False,https://drive.google.com/drive/folders/1VRKUu2tWuf-6_N8Jw-ao-s6_h8RerSnM?usp=sharing,
a.a,13,6535,"""La montaña"" (3)",,19A,,,Literatura; Museo Bernasconi,tabla policromada,"TABLA CON TEXTO ""El panorama que …""","20x45x1,8",Madera,,,,1,2022-02-09,48,20,"1,8",,Regular,,False,https://drive.google.com/drive/folders/13tU4Ra8hbHqp_WyqSobsHDYlxolH4Wwd?usp=sharing,
E.S.,14,6536,Púlpito jujuy Obra artística de la época colonial,,17D,,,Arquitecturas; Instituto Barnasconi; Jujuy,tabla policromada,Vista púlpito,58x45x2,Madera,KARL NOISTERNIGG,"Presenta la inscripcion en el frente ""púlpito de jujuy obra artística de la época colonial"". Presenta marco dorado. Presenta fractura en el sector frontal superior izquierdo de 3,5cm. Presenta fractura en el sector frontal izquierdo de 53cm. Presenta sisura en el sector izquierdo frontal de 4,5cm. Presenta dis incisiones de xilofagos en el sector izqiuierdo de 0,3cm de diametro. Presenta marcacion por golpe en el sector central superior frontal de 8x6,5cm. Presenta marcacion por golpe en el sector frontal central de 7x5cm. Presenta dos incisiones de xilofagos en el sector derecho frontal de 0,3cm diametro. presenta marcacion por golpe en el sector frontal superior de 4cm. Presenta albeamiento. Presenta deposito de pintura negra en el sector inferior central tapando las inscripciones ""El "" y ""De"". presenta seis incisiones de xilófagos en el sector dorsal. Presenta etiqueta en el sector superior izquierdo dorsal. Presenta la inscripcion en papel en el sector derecho inferior dorsal ""ministerio de educación y justicia. Dirección nacional de educación primaria. Instituto Felix F. Bernasconi. Museo Geografico Dr. Juan B. Terán. Sala 4. Tabla grabada. Autora: Rosario Vera peñaloza"". Presenta fractura en el sector inferior izquierdo frontal de 4,5cm. Presenta frctura en el sector derecho central dorsal de 11cm. Presenta deposito de pintura blanca esparcida por toda la superficie. Presenta herraje en el sector central superior dorsal. presenta marcación por golpe en la esquina derecha superior dorsal de 4,5cm.",,1,2018-08-15,45,58,2,,Regular,,True,https://drive.google.com/drive/folders/13VrXrSJQ_aFOSZdfPQw7DSho0AXHEf8C?usp=sharing,
Jonathan Mayán,15,6537,"""Los habitantes de la montaña""/El indio",,19A,,,Literatura; Museo Bernasconi,tabla policromada,"TABLA CON TEXTO ""El aconquija estuvo habitado en siglos anteriores  por turbulentas tribus de indios. El hombre es hijo de la naturaleza en cuyos moldes parece que su espirituse hubiese vaciado. La contemplacion diaria de la montaña, de la cumbre, del abi","20x45x1,8",Madera,,,,1,2022-05-03,45,20,"1,8",,Bueno,,False,https://drive.google.com/drive/folders/13BPq0EPtxtFGl8nTAsjq9mzseRNwr2wR?usp=sharing,
E.S.,16,6538,"""La montaña""/Fragmentos del libro Calchaquí de Adan Quiroga",,19A,,,Literatura; Museo Bernasconi,tabla policromada,"TABLA CON TEXTO""Bella es la region de los rios y las islas; grande es el cuadro de La Pampa con sus horizonres dilatados; …pero no puede ponerse en duda que la region de la montaña es la mas hermosa del pais. Recien se puede admirar su grandiosidad cuando","20x45x1,8",Madera,,Tiene marco dorado.,,1,2017-06-27,45,20,"1,8",,Bueno,,False,https://drive.google.com/drive/folders/1yJ6DL8DZE3g2b2yl_t6UT7U1MY4herF4?usp=sharing,
a.a,17,6539,"""Músicos de la montaña""",,19A,,,Literatura; Museo Bernasconi,tabla policromada,"TABLA CON TEXTO""Músicos de la …""

----música, poesia, montaña, texto.","20x45x1,8",Madera,,,,1,2022-02-09,45,20,"1,8",,Bueno,,False,https://drive.google.com/drive/folders/11Sc2wk7s4PAPZgUdxBYmxvgMcVZs8J_Z?usp=sharing,
Jonathan Mayán,18,6540,Salta - Montaña y llanura,,19A,,,Literatura; Museo Bernasconi; Salta,tabla policromada,"texto sobre tabla. ""Salta-Montaña y llanura- En los valles pedregosos, humildes moradores nos recuerdan al indigena primitivo, artista en la fabricación y en el decorado de vasos y telas, habil constructor de casas y pircas de piedra y hoy compañero de lo","20x45,1x1,8cm",MADERA,,"Presenta marco dorado. Presenta fisura en el sectort izquierdo superior frontal de 1,1cm. Presenta fisura en el sector izquierdo medio frontal de 2,5cm. Presenta fisura en el sector derecho medio frontal de 1,2cm. Presenta depósito de pegamento en el sector inferior izquierdo frontal de 2x2cm. Presenta marcación ppr golpe en el sector inferior medio frontal de 2,4cm. Presenta herraje en el sector dorsal. Presenta alveamiento de la madera primaria. Presenta fractura en el travesaño superior de 38cm.",,1,2018-08-28,"45,1",20,"1,8",,Regular,,False,https://drive.google.com/open?id=1GSYSTRm4z-nqQrsiSwLQNqPsDcKQ0saM&authuser=museo.bernasconi%40bue.edu.ar&usp=drive_fs,
Jonathan Mayán,19,6541,EL VALLE,,18C,,,Literatura; Museo Bernasconi,tabla policromada,"texto sobre tabla de madera.""El valle. Un valle es puno que concentra vida humana. - Es sano, bueno y próvido. Adviértese que él, sosiego, paz, en sueño, todo dentro de un marco de luz, de belleza, de bienaventuranza. El sol, el cielo azul, las corrientes","16x38,5x1,6cm",MADERA,,"Presenta marco dorado. Presenta sisura en el lateral izquierdo de 4cm. Presenta marcación por golpe en el cabezal inferior de 0,5cm; 0,5cm; 0,5cm; 0,3cm; 0,3cm; 0,5cm; 0,3cm; 0,1cm; 0,1cm; 0,5cm, 0,3cm. Presenta fisura en el cabezal inferior de 5cm. Presenta herraje en el cabezal superior.",,1,2018-08-28,"38,5",16,"1,6",,Regular,,False,https://drive.google.com/open?id=10tmO-adofp0uBxO4ieJqmQ1VmTkt2AxF&authuser=museo.bernasconi%40bue.edu.ar&usp=drive_fs,
a.a,20,6542,"""INAUGURACION DEL FERROCARRIL NORTE…""",,18A,,,Industrias; Literatura; Museo Bernasconi,tabla policromada,"TABLA CON TEXTO ""La locomotora a entrado…""

----tren, ferrocarril, pueblo, transporte, progreso, industria","16x38,5x2",Madera,,,,1,2022-02-09,"38,5",16,2,,Regular,,False,https://drive.google.com/drive/folders/10vnn2k_DEP25vjpehi4JXkIQdAVUEFvL?usp=sharing,
Jonathan Mayán,21,6543,"""SALTA-LA VIDA EN LA MONTAÑA""",,19A,,,Literatura; Museo Bernasconi; Salta,tabla policromada,"Texto sobre tabla. Presenta la inscripcion en tinta sobre madera:""Salta. - La vida en la montaña- Salta es la región de los contrastes, de la oposición de climas y paisajes, donde la caracteristícas en la diversidad. Al Oeste una cordillera fantástica cargada de minerales . En cuyas cimas nevadas duerme el cóndor…""

---- poesia, montaña, noroeste, Benicio López Ferreira, poeta","20x45x1,6cm",MADERA,,"Presenta marco dorado. Presenta marcación por golpe en el sector  inferior central frontal de 3,5cm; 7cm; 2cm; 1x0,5cm; 0,7cm. Presenta alveamiento de la madera principal. Presenta desprendimiento del liston lateral izquierdo de 20x1cm. Presenta fisura en el travesaño superior de 10cm. Presenta fisura en el cabezal inferior de 27cm. Presenta marcación por golpe en el liston izquierdo lateral de 1x0,5cm. Presenta marcación por golpe en el cabezal inferior de 1,5x0,3cm. Presenta herraje en el cabezal superior.",,1,2018-08-28,45,20,"1,6",,Regular,,False,https://drive.google.com/drive/folders/1-gpequD7DpwM4vg21a4ksgVkF3nKxjzD?usp=sharing,
,22,6544,IGLESIA DE YAVI-JUJUY,,19B,,,Iglesias; Jujuy; Museo Bernasconi,tabla policromada,Fachada de iglesia al frente con arbol a la izquierda y cielo de fondo,27x36x1,Madera,KARL NOISTERNIGG,"Presenta una sisura en la parte central derecha frontal de 1cm. Tiene la inscripcion en la parte central inferior frontal ""Iglesia de Yavi - Jujuy"" y tapado con pintura negra en el mismo sector ""(en la prensa)"". Presenta marcacion por golpe en el marco de la prte superior central frontal  de 3cm. Presenta al dorso en la parte superior izquierda uan etiqueta de 3x1,5cm. Presenta un herraje en la parte central superior dorsal. Presenta la inscripcion al dorso en grafito sobre madera ""Iglesia de Yavi Prov. de Jujuy 9"". Presenta una etiqueta en la parte dorsal inferior izquierda de 7x10,5cm con la inscripción ""Ministerio de educacion y justicia dirección nacional de educación primaria instituto Felix F. Bernasconi museo geográfico Dr. Juan B. Teran sala 4 tabla grabada autora Rosario Vera Peñaloza"". Presenta deposito de pintura negra en los margenes. Presenta manchas de humedad al dorso.",,1,,36,27,1,,Regular,,False,https://drive.google.com/drive/folders/12mIDL9Lv-bPKB5XaWwq-Z3-n-izZ5tYX?usp=sharing,
a.a,23,6545,LA FE SENCILLA,,18A,,,Costumbres; Museo Bernasconi,tabla policromada,"Anciana orando


----religion, pueblo, credo.",30x22x1,Madera,,,,1,2022-02-09,22,30,1,,Regular,,False,https://drive.google.com/drive/folders/1-3g_kRizt7vsJpj3ga30LRe1XzawNL1E?usp=sharing,
E.S.,24,6546,"""IINDIA NORTEÑA""",,18A,,,Museo Bernasconi; Retratos,tabla policromada,"vista de una mujer con un niño en una wawa colgado en la espalda.

----madre, infancia, bebé, noroeste",30x22x1,MADERA,,"Presenta marco dorado. Presenta craquelacion de la madera. Presenta marcacion por golpe en la parte superior derecha frontal de 3x1cm. Al dorso presenta herraje para colgar en la parte superior. Presenta la inscripcion en grafito obre madera al dorso ""6"". Presenta una etiqueta de 1x1cm en la parte inferior izquierda dorsal con la inscripcion ""19"".",,1,2019-04-05,22,30,1,,Regular,19,False,https://drive.google.com/drive/folders/1GYMHOvf7PHvklaTphG19g9pOq1IGxge9?usp=sharing,
,25,6547,SEÑOR DEL MILAGRO-SALTA,,18A,,,Iglesias; Museo Bernasconi,domesticos,LAMINA ENMARCADA CON VIDRIO: Reproducción cristo,"25x19,5x1",Madera,,,,1,,"19,5",25,1,,Regular,,False,https://drive.google.com/drive/folders/1uJy8NYZuNfmlAFh6V6S-pUMGrpZ7mnvI?usp=sharing,
E.S.,26,6548,PAISAJE DE JUJUY,,17D,,,Museo Bernasconi; Paisajes,tabla policromada,"Paisaje Jujuy c/arboles borrachos.


----camino, naturaleza, árbol, arboleda, noroeste",64x44x2,Madera,KARL NOISTERNIGG,"Tiene una perforacion de 1mm en la parte superior central al frente. Tiene una rayadura y una perforacion en el sector inferior central. Tiene una rayadura de 2,5cm en la parte central en forma horizontal con tendencia hacia la derecha. Tiene una marca pr golpe en la parte inferior izquierda de 3mm. Al dorso tiene un herraje para colgar en el sector central superior. Tiene faltante de 5cm en el marco del superior derecho. Tiene una sisura en el marco del sectror inferior derecho en forma horizontal de 8cm.Tiene un faltante de amterial en el marco inferior izquierdo en forma horizontal de 3cm. Tiene una etiqueta pequeña en el marco inferior izquierdo. tiene una etiqueta de 10x7cm con la inscripcion ""Ministerio de Educacion y Justicia, Direccion Nacional de Educacion Primaria, Instituto Felix Bernasconi, Nuseo Geografico Dr. Juan B.Teran, Sala 4, Tabla Grabada, Autora; Rosario Vera Peñaloza"". Tiene manchas de humedad y restos de pegamento en los marcos.",,1,2017-09-12,44,64,2,,Regular,,False,https://drive.google.com/drive/folders/1VgjK9gvf-OIe1o6UJy9VoWSvPL26sr1h?usp=sharing,
a.a,27,6549,RETRATO SEÑOR,,17B,sala6,,Museo Bernasconi; Retratos,tabla policromada,"Retrato señor c/bigote y corbata


----procer",29x20x1.5,Madera,,,,1,2022-02-09,20,29,"1,5",,Regular,,False,https://drive.google.com/drive/folders/1VHAb-0S-RWavJnO883jufFi3GAhNmVjQ?usp=sharing,
E.S.,28,6550,Quebrada de Humahuaca,,14B,pasillo sala 1-2,,,tabla policromada,Vista Quebrada c/hombre con burros,"77,5x79,5x2",Madera,,"Al frente tiene marco dorado. Tiene fragmentacion en la madera. Tiene dos rayaduras paralelas en forma horizontal en la parte inferior izquierda de 7cm. Presenta decoloracion en la parte superior. Al dorso, tiene un herraje para colgar y un alambre enganchado de lado a lado con sus respectivos herrajes en cada margen. Tiene una etiqueta pequeña en el margen superior izquierdo. tiene una etiqueta en la parte inferior con la inscripcion ""Ministerio de Educacion y Justicia, Dirección nacional de Educacion Primaria, Instituto Felix Bernasconi, M:useo Geografico juan B. Teran, Sala 4, RVP, Tabla Grabada"".",,1,2017-10-17,"79,5","77,5","5,2",,Regular,,False,,
E.S.,29,6551,EN EL VALLE CALCHAQUI,,14B,pasillo sala 1-2,,,tabla policromada,Vista paisaje con viviendas tipicas,"80x80x2,5",Madera,KARL NOISTERNIGG,"Al frente tiene marco dorado. Tiene un golpe en la parte inferior izquierda. Tiene decoloracion en toda la superficie. En la parte posterior tiene un alambre atravesado de lado a lado con sus herrajes correspondiente para colgar. Tiene una etiqueta con la inscripcion ""Ministerio de Educacion y Justicia, Direccion nacional de Educación Primaria, Instituto Felix Bernasconi, Museo Geografico Juan b. Teran, Sala 4 RVP, Tabla Grabada"".",,1,2017-10-17,80,80,"2,5",,Regular,,False,,
E.S.,30,6552,TUCUMAN - INDUSTRIA AZUCARERA,,14B,,,Industrias; Museo Bernasconi,tabla policromada,"Vista Industria Azucarera-Ingenio


---- progreso, noroeste, fábrica, azucar, obrero.",80x80x2,Madera,,"Al Frente tiene una sisura en el margen superior de 80cm que atraviesa en forma horizintal desde el margen izquierdo al derecho. Tiene una sisura de 80cm en el margen inferior que atraviesa en forma horizontal desde el margen izquierdo al derecho. Tiene un golpe en la parte inferior derecha de 1cm. Tiene una rayadura en la parte central de 2cm. Tiene decoloracion en la parte superior de la pieza. Al dorso tiene un herraje para colgar. Tiene restos de pintura amarilla sobre los marcos. Tiene una etiqueta con la inscripcion ""Ministerio de educacion y justica, Direccion nacional de educacion primaria, Instituto Felix Bernasconi, Museo geografico Juan B. Teran, RVP, tabla grabada, sala 4"".",,1,2017-10-17,80,80,2,,Regular,,False,https://drive.google.com/drive/folders/1VCfFxfS86PSlmPHfiLaZ8DDIjbduW9B1?usp=sharing,
a.a,31,6553,ESCENA CAMPESTRE,,18D,,,Costumbres; Museo Bernasconi,tabla policromada,"9 GAUCHOS PLANIFICANDO, reunión 

---- guitarra, gaucho, paisaje.",45x65,Madera,,"En el sector inferior central hay un ataque de cilofagos de 3 mm de diam. En el sector central superior hay una marcacion de golpe de 4,5 cm.",,1,2021-12-28,65,45,"2,5",,Regular,,True,https://drive.google.com/drive/folders/1d5fF2j31PGj5fw9JQlfmWb4vybaPSMcR?usp=sharing,
E.S.,32,6554,CAMINO EN SANTA FE,,14B,,,Museo Bernasconi; Santa Fé,tabla policromada,"Vista paisaje con camino y carro

---- litoral, naturaleza, carreta, vaca, arriero, arbolera, árbol, tierra","79x79x2,5",Madera,KARL NOISTERNIGG,"Tiene la madera fragmentada en algunsos sectores. Tiene una rayadura en la parte central superior de 6cm. Tiene una rayadura de 20cm en la parte central en forma vertical hacia la parte inferior izquierda. Tiene una rayadura en la parte inferior derecha. tiene un golpe en la parte central derecha. al dorso, tiene un herraje para colgar. Tiene faltante de material en la parte inferior derecha. Tiene una sisura con faltante de material de 68cm en forma horizontal en la parte superior de la pieza que va de lado a lado. TROS DE ACTIVIDAD DE XILOFAGOS. TIENE DOS PERFORACIONES EN LA PARTE INFERIOR DERECHA. TIENE DOS PERFORACIONES EN LA PARTE IQUIRDA CENTRAL. TIENE CINCO PERFORACIONES EN LA PARTE IZQUIERDA SUPERIOR. TIENE DOS PERFORACIONES EN LA PARTE CENTRAL SUPERIOR.",,1,2017-10-13,79,79,"2,5",,Regular,,False,https://drive.google.com/drive/folders/1ufaZ7ujKSbrOCMZRsp4QVhAYY7snzVsx?usp=sharing,
E.S.,33,6555,"DIAMANTE, 25 DE DICIEMBRE DE 1851 - SARMIENTO",,19B,sala6,,Literatura; Museo Bernasconi,tabla policromada,"Diamante, 25 de diciembre de 1851 ""El sol de ayer, ha iluminado uno de los grandes epectaculos que la naturaleza y los hombres ofrecen: el paso de un gran rio, por un gran ejercito, - De este punto, han partido las grandes oleadas politicas que han agitado a los pueblos argentinos...""

----procer, discurso, texto","31x63x1,5",Madera,,"Tiene marcacion por golpe en el sector central derecho de 6cm. Marcacion por golpe en el sector central superior de 2x1,5cm. Marcacion por golpe, tranversales y 2 paralelas en el sector central de 16cm. Golpe en el sector central superior de 9x2cm. Sisura en el sector central inferior de 4,5cm.",,1,2017-06-27,63,31,"1,5",,Regular,,False,https://drive.google.com/drive/folders/1uckJeLJfchor6QRQNL1qj3uyHWdxrDRd?usp=sharing,
a.a,34,6556,"""RANCHO DE PALO AL PIQUE - SANTA FE""",,17B,,,Museo Bernasconi; Paisajes; Santa Fé,tabla policromada,"vista rancho con árbol 

…rancho, pueblo, casa, paisaje, litoral, campo, árbol, naturaleza.","27x36x1,5",Madera,,,,1,2022-02-09,36,27,"1,5",,Regular,,False,https://drive.google.com/drive/folders/1uOD01Pwq0vq6PavMXCkKNH2y7hvrhURx?usp=sharing,
E.S.,35,6557,"""A LA PATRIA - INVOCACION""",,19A,,,Literatura; Museo Bernasconi; Simbolos patrios,tabla policromada,"TABLA CON TEXTO ""Ayer el sacrificio; hoy el trabajo, mañana la gloria. Tus heroes abrieron el surco, tus hijos fecundan la simiente, las generaciones del porvenir cosecharan las mies…""Leopoldo Herrera","20x40x1,5",Madera,KARL NOISTERNIGG,"Presenta rayaduras y golpes de 5mm en toda la superficie. Tiene una rayadura en la parte central derecha de 5cm, en laparte centra de 8cm y en la parte izquierda de 3,5cm. Al dorso presenta decoloracion en la parte superior deerecha y marcas por pintura en la parte superior central. tiene manchas de humedad y manchas por pegamento. en la paret superior izquierda tiene una etiqueta de 3,5cm x 1,5cm. tiene una herraje para colgar en la parte superior central. Tiene una X con tiza en la parte central derecha.",,1,2017-06-27,40,20,"1,5",,Regular,,False,https://drive.google.com/drive/folders/1y8ggPdkmwHXjxYjuf81MbwF-w9zR3wFe?usp=sharing,
